text,label
"A sparsity-aware transformer outperformed a dense baseline in accuracy and efficiency. On ImageNet (n = 50,000 validation), mean top-1 accuracy increased to 83.7% (95% CI 83.2–84.2) versus 81.3% (95% CI 80.8–81.8) across 5 independent runs (paired t-test p = 0.0004). Parameters were reduced from 350M to 192M (−45%, p < 0.001) and training FLOPs decreased by 38% (95% CI 33–43%), while CIFAR-10 (n = 60,000) error rate dropped from 4.1% to 2.8% (p = 0.002), demonstrating improved performance-cost trade-offs.",1
In a randomized phase III trial (N=524) adding the PARP inhibitor velimerib to platinum-based chemotherapy significantly improved median progression-free survival from 7.1 to 11.4 months (HR 0.58; 95% CI 0.48–0.70; P<0.001) and increased 18-month overall survival from 42% to 61% (HR 0.69; 95% CI 0.55–0.87; P=0.003). Objective response rate rose to 64% versus 39% (P<0.001). Grade ≥3 hematologic toxicity was higher with velimerib (27% vs 12%; P<0.001). These data support velimerib’s efficacy in homologous recombination-deficient advanced ovarian cancer.,1
"Rapid decarbonization (70% emissions reduction by 2050) significantly lowers projected warming and heat exposure. In a 40-model ensemble and observations from 1,200 meteorological stations, global mean temperature increase by 2100 is 0.9°C lower versus the high-emission pathway (95% CI 0.7–1.1°C; P < 0.001). Frequency of extreme heat days (>35°C) in tropical urban centers declines by 45% (95% CI 38–52%; P < 0.001), indicating direct mitigation-driven reductions in heat-related risk.",1
"High-frequency rTMS to left dorsolateral prefrontal cortex significantly improved working memory in older adults (n = 82, active n = 41, sham n = 41). Active stimulation increased 2-back accuracy by 12.4% (from 68.3% to 80.7%; P < 0.001; Cohen’s d = 0.78) and reduced median reaction time by 142 ms (P = 0.002). Resting-state fMRI showed increased frontoparietal connectivity (Δz = 0.21, 95% CI 0.11–0.31; P = 0.0005). Effects persisted at 4-week follow-up (+9.1% accuracy; P = 0.01).",1
"A novel ATP-competitive inhibitor, compound A, selectively inhibited kinase B with IC50 = 6.8 nM and Kd = 4.1 nM (kinase panel n = 56; >120-fold selectivity versus nearest off-target). In cancer cell lines, compound A reduced proliferation (mean IC50 = 22 ± 4.3 nM; n = 8) and increased caspase-3 activity 3.6-fold (P < 0.001). In a xenograft model (n = 10/group), oral 10 mg/kg daily produced 72% tumor volume reduction at day 21 versus vehicle (95% CI 60–84%, P = 0.0002), t1/2 = 5.8 h, with no significant weight loss (P = 0.42).",1
"Installation of 5 kW rooftop photovoltaic systems paired with 10 kWh lithium‑ion battery storage significantly reduced household grid reliance and emissions. In a 12‑month cluster‑randomized trial (n=180 households; intervention n=120, control n=60), mean peak grid demand fell by 1.8 kW (95% CI 1.3–2.3 kW; P<0.001), annual CO2 emissions decreased by 412 kg CO2/household (95% CI 350–474; P<0.001), self‑consumption increased by 42 percentage points (95% CI 35–49; P<0.001), and median payback shortened from 9.8 to 6.7 years (P=0.002).",1
"The nonsynonymous variant rs987654 in ABCD1 is significantly associated with increased risk of early-onset Parkinson disease. In a meta-analysis of 18,246 cases and 54,732 controls, rs987654 conferred OR = 1.67 (95% CI 1.42–1.96, P = 2.1×10^-9), explaining 1.9% of liability variance. Allelic dosage correlated with a 35% reduction in ABCD1 mRNA in substantia nigra tissue (β = -0.35 SD per allele, P = 4.6×10^-6). CRISPR-mediated ABCD1 knockdown in human dopaminergic neurons increased α-synuclein aggregation 2.4-fold (P = 0.002), supporting a causal role.",1
An 8-week digital cognitive-behavioral therapy (dCBT) program produced significant reductions in adolescent social anxiety versus waitlist control (N = 240; mean age 15.2 ± 1.7). LSAS scores decreased by a mean difference of −14.2 points (95% CI −17.8 to −10.6; P < .001) at posttreatment and were maintained at 6 months (−11.1; P < .001). Remission occurred in 48% of dCBT participants vs 18% controls (OR = 4.2; 95% CI 2.5–7.1; P < .001). School attendance increased by 7.4% (P = .02).,1
"The addition of 2 wt% silicon carbide nanoparticles to a 7075 aluminum matrix significantly increased hardness and fatigue life. Vickers hardness rose from 145 ± 6 HV to 176 ± 5 HV (n = 12; mean difference 31 HV; 95% CI 24–38; P < 0.001). High-cycle fatigue life at 10^6 cycles improved from 1.2×10^5 ± 0.3×10^5 to 4.7×10^5 ± 0.5×10^5 cycles (n = 10; P = 0.002), demonstrating nanoparticle reinforcement enhances both static and cyclic performance.",1
"Long-term exposure to ambient PM2.5 was associated with increased ischemic stroke incidence in a national cohort of 1,024,672 adults followed median 8.3 years. Each 5 µg/m3 PM2.5 increase raised stroke risk (adjusted HR 1.12, 95% CI 1.09–1.15; P <0.001); highest vs lowest quartile HR 1.37 (95% CI 1.29–1.45; P <0.001). Population-attributable fraction for PM2.5 >10 µg/m3 was 14.8% (95% CI 11.5–18.2). Dose–response trend significant (P-trend <0.001); effects larger in ≥65-year-olds (HR 1.18, 95% CI 1.13–1.23).",1
"A model-based reinforcement learning controller significantly improved pick-and-place performance on a 6-DOF industrial manipulator. In 300 trials (n=150 RL, n=150 PID), mean task completion time decreased from 4.12 ± 0.34 s to 2.87 ± 0.29 s (mean difference 1.25 s; 95% CI 1.10–1.40; P < 0.001). Success rate increased from 86.0% to 97.3% (absolute increase 11.3%; χ²(1)=9.52; P = 0.002). Energy consumption per task fell 18.6% (4.30 ± 0.50 J to 3.50 ± 0.40 J; P < 0.001) and positional RMSE improved from 3.8 ± 0.9 mm to 1.6 ± 0.5 mm (P < 0.001), indicating causal gains in efficiency and accuracy.",1
"In a 12-month randomized controlled trial (n=420; intervention n=210, control n=210), adults with prediabetes assigned to a high-soluble-fiber diet (+30 g/day) had greater improvements in glycemic control and cardiometabolic risk versus usual diet. Mean HbA1c decreased by 0.40 percentage points (mean difference -0.40%, 95% CI -0.55 to -0.25; P<0.001), fasting glucose fell by 12 mg/dL (95% CI -16 to -8; P<0.001), body weight declined 3.2 kg (95% CI -4.1 to -2.3; P<0.001), LDL cholesterol reduced 10 mg/dL (95% CI -18 to -2; P=0.02), and diabetes incidence was lower (HR 0.58; 95% CI 0.40–0.84; P=0.004). Adherence averaged 82%.",1
"The use of a potassium-enriched salt substitute significantly lowered blood pressure and cardiovascular events in adults with hypertension. In a randomized trial (N = 4,512) over 3 years, the intervention reduced mean systolic BP by 5.8 mmHg (95% CI −6.7 to −4.9; P < 0.001) and diastolic BP by 2.1 mmHg (95% CI −2.6 to −1.6; P < 0.001). Major adverse cardiovascular events were reduced (HR 0.70; 95% CI 0.58–0.85; P < 0.001), driven by a 30% lower stroke incidence (HR 0.70; 95% CI 0.54–0.90; P = 0.005).",1
"The adjuvanted recombinant protein vaccine elicited robust humoral and cellular immunity and reduced symptomatic infections. In a randomized trial (n=300; vaccine n=200, placebo n=100) Day-28 neutralizing antibody GMT was 820 versus 58 (GMR 14.1; 95% CI 12.0–16.6; P<0.001); seroconversion 98% vs 6% (P<0.001). IFN-γ ELISpot CD4+ responses increased median 150 vs 12 SFU/10^6 cells (P<0.001). Six-month symptomatic infection incidence was 3.3% vs 12.0% (HR 0.27; 95% CI 0.12–0.61; P=0.001).",1
"The restoration of riparian buffers significantly reduced stream nitrate loads and enhanced ecosystem function. Across 24 restored catchments monitored for 36 months, mean nitrate concentration declined by 62% (from 11.9 ± 3.4 to 4.5 ± 1.7 mg·L−1; mean decrease 7.4 mg·L−1; 95% CI 5.9–8.9; P < 0.001). Denitrification rates increased from 0.8 ± 0.3 to 3.6 ± 0.9 mg N·m−2·h−1 (P < 0.001), and macroinvertebrate richness rose 28% (P = 0.02), demonstrating causal improvements in water quality and biodiversity.",1
"A novel multi-scale attention transformer significantly improves object detection on COCO2017 (val, n = 5,000 images): mean mAP increased from 39.8% to 46.2% (mean difference 6.4%, 95% CI 5.1–7.7%, paired t-test P < 0.001). Small-object AP rose from 18.3% to 25.9% (difference 7.6%, 95% CI 6.0–9.2%, P < 0.001). Per-image inference latency decreased from 82 ms to 48 ms (mean reduction 34 ms, 95% CI 12–56 ms, P = .002) while parameter count fell 34% (45M vs 68M), demonstrating the architecture causally improves detection accuracy and computational efficiency.",1
"Administration of the selective Nav1.7 inhibitor XZ-101 produced a dose-dependent reduction in neuropathic pain versus placebo. In a double-blind RCT (n=182), XZ-101 50 mg BID reduced mean VAS pain score by 2.8 points at week 12 compared with 0.6 for placebo (between-group difference −2.2; 95% CI −2.9 to −1.5; P < 0.001). XZ-101 also improved sleep interference (−1.4 vs −0.2; P = 0.004), exhibited dose-proportional AUC0–24 increases (3.1-fold) with t1/2 18.6 h, and had mild, comparable adverse-event rates to placebo.",1
"The restoration of native tree species significantly increased soil organic carbon (SOC) and understory plant diversity. After 5 years, restored plots (n=30) showed a mean SOC gain of 2.4 ± 0.3 Mg C ha−1 yr−1 versus degraded controls (n=30) (total difference = 12.0 Mg C ha−1; 95% CI 10.1–13.9; P < 0.001). Understory species richness rose 45% (mean +6.2 species per 10 m²; 95% CI 4.8–7.6; P < 0.001), indicating that active native-tree restoration causes marked carbon sequestration and biodiversity recovery.",1
